,Team,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,WS_per_game,BPM,VORP,Player
159,NYK,0.445,0.391,0.803,22.553846153846155,10.692307692307692,3.0307692307692307,1.8307692307692307,0.8,-4.3,-0.8,Allonzo Trier
160,,0.436,0.362,0.778,14.135135135135135,5.621621621621622,1.6756756756756757,2.3783783783783785,0.9,-2.2,0.0,Kadeem Allen
161,NYK,0.692,0.333,0.5,37.0,21.0,5.0,2.0,0.1,2.0,0.0,RJ Barrett
162,NYK,0.503,0.306,0.721,28.490384615384617,15.413461538461538,8.85897435897436,2.733974358974359,18.0,-0.3,3.7,Julius Randle
163,NYK,0.511,0.21,0.709,25.85907859078591,9.811653116531165,6.415989159891599,1.029810298102981,49.7,0.1,9.9,Taj Gibson
164,NYK,0.458,0.359,0.749,20.308,10.22,6.164,1.148,9.0,-2.0,0.1,Bobby Portis
165,NYK,0.41,0.379,0.846,21.258513931888544,8.174922600619196,2.193498452012384,1.1021671826625388,17.7,-2.0,-0.1,Wayne Ellington
166,NYK,0.454,0.303,0.631,29.533527696793,11.104956268221574,4.352769679300292,6.562682215743441,13.4,-0.3,4.3,Elfrid Payton
167,NYK,0.431,0.361,0.749,26.543956043956044,11.573260073260073,4.611721611721611,1.5183150183150182,27.0,-0.6,5.0,Marcus Morris
168,,0.434,0.392,0.828,19.264705882352942,6.823529411764706,2.0698529411764706,1.1029411764705883,9.7,-0.7,1.7,Reggie Bullock
169,,0.555,0.2,0.743,14.552941176470588,5.705882352941177,4.2823529411764705,1.011764705882353,3.2,-1.0,0.3,Ivan Rabb
170,,0.443,0.352,0.793,33.233830845771145,17.48258706467662,4.624378109452737,3.9527363184079602,24.2,1.1,10.4,Victor Oladipo
171,IND,0.515,0.341,0.724,23.11304347826087,10.478260869565217,6.7956521739130435,1.9434782608695653,13.3,-0.2,2.4,Domantas Sabonis
172,IND,0.509,0.356,0.617,8.785714285714286,3.4017857142857144,1.8571428571428572,0.29464285714285715,2.4,-2.9,-0.2,T.J. Leaf
173,IND,0.497,0.338,0.764,27.740458015267176,14.366412213740459,4.1183206106870225,1.118320610687023,12.8,-1.3,1.2,T.J. Warren
174,IND,0.392,0.336,0.82,12.803921568627452,5.764705882352941,1.3333333333333333,1.7450980392156863,0.7,-2.8,-0.1,Aaron Holiday
175,IND,0.459,0.405,0.825,19.9093567251462,7.792397660818714,2.1228070175438596,0.7894736842105263,10.6,-3.0,-1.8,Doug McDermott
176,,0.25,0.5,0.5,4.571428571428571,0.9285714285714286,1.3571428571428572,0.07142857142857142,0.0,-8.1,-0.1,Alize Johnson
177,IND,0.495,0.366,0.772,28.11743772241993,12.91459074733096,6.683274021352313,1.2419928825622777,22.2,1.4,6.8,Myles Turner
178,IND,0.483,0.409,0.896,28.117021276595743,12.845744680851064,3.5106382978723403,3.643617021276596,13.5,0.0,2.7,Malcolm Brogdon
179,IND,0.443,0.339,0.853,20.48394495412844,10.240825688073395,3.6513761467889907,1.5527522935779816,20.7,-0.5,3.3,Jeremy Lamb
180,,0.333,0.25,1.0,5.666666666666667,1.2666666666666666,0.4,1.0,0.0,-8.2,-0.1,Naz Mitrou-Long
181,IND,0.366,0.259,0.625,9.36,2.96,1.04,0.48,0.1,-2.8,0.0,Edmond Sumner
182,,0.45,0.257,0.672,15.965317919075144,5.4508670520231215,2.6763005780346822,0.7861271676300579,2.0,-4.2,-1.6,JaKarr Sampson
183,IND,0.39,0.349,0.832,22.620111731843576,8.09217877094972,2.8379888268156424,1.458100558659218,8.0,-1.3,1.5,Justin Holiday
184,IND,0.487,0.335,0.768,21.993650793650794,6.393650793650794,2.86984126984127,4.650793650793651,12.4,-1.6,0.7,T.J. McConnell
185,DEN,0.46,0.389,0.789,15.903614457831326,7.240963855421687,1.7409638554216869,0.8433734939759037,5.0,-1.8,0.2,Malik Beasley
186,DEN,0.433,0.363,0.878,28.493723849372383,14.828451882845188,3.485355648535565,3.401673640167364,12.1,-0.7,2.2,Jamal Murray
187,,0.437,0.366,0.764,15.777070063694268,5.063694267515924,3.2229299363057327,0.6114649681528662,5.1,-1.3,0.4,Juan Hernangómez
188,DEN,0.491,0.336,0.734,29.337209302325583,14.100422832980973,7.409090909090909,2.2938689217758985,88.3,3.2,36.5,Paul Millsap
189,DEN,0.57,0.074,0.565,22.116525423728813,8.461864406779661,6.315677966101695,2.190677966101695,31.1,2.4,11.6,Mason Plumlee
190,DEN,0.459,0.364,0.802,28.492012779552716,12.415335463258787,2.559105431309904,2.1118210862619806,15.8,-0.1,4.2,Gary Harris
